Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16060.000000,16180.000000,16000.000000,16180.000000,12385.366211,11950800
2010-01-05,16520.000000,16580.000000,16300.000000,16440.000000,12584.391602,27925850
2010-01-06,16580.000000,16820.000000,16520.000000,16820.000000,12875.269531,22948850
2010-01-07,16820.000000,16820.000000,16260.000000,16260.000000,12446.605469,22107950
2010-01-08,16400.000000,16420.000000,16120.000000,16420.000000,12569.078125,14777550
2010-01-11,16420.000000,16460.000000,15940.000000,15940.000000,12201.655273,19896100
2010-01-12,15940.000000,16180.000000,15900.000000,16180.000000,12385.366211,19218050
2010-01-13,16100.000000,16120.000000,15940.000000,15940.000000,12201.655273,13375300
2010-01-14,16120.000000,16620.000000,16000.000000,16540.000000,12660.939453,26551550
2010-01-15,16640.000000,16860.000000,16580.000000,16840.000000,12890.580078,19905600
2010-01-18,16800.000000,16920.000000,16560.000000,16860.000000,12905.889648,13060400
2010-01-19,17000.000000,17000.000000,16440.000000,16460.000000,12599.700195,12041250
2010-01-20,16460.000000,16740.000000,16460.000000,16680.000000,12768.107422,19200850
2010-01-21,16400.000000,17000.000000,16400.000000,17000.000000,13013.056641,16990100
2010-01-22,16800.000000,16900.000000,16360.000000,16500.000000,12630.318359,23460500
2010-01-25,16320.000000,16960.000000,16300.000000,16840.000000,12890.580078,20578400
2010-01-26,16920.000000,16920.000000,16240.000000,16300.000000,12477.225586,18722300
2010-01-27,16300.000000,16340.000000,16000.000000,16000.000000,12247.579102,18516150
2010-01-28,16160.000000,16300.000000,16060.000000,16160.000000,12370.056641,13795800
2010-01-29,16000.000000,16020.000000,15600.000000,15680.000000,12002.628906,22854100
2010-02-01,15680.000000,15700.000000,15300.000000,15540.000000,11895.464844,25037200
2010-02-02,15800.000000,15800.000000,15400.000000,15440.000000,11818.916992,19677150
2010-02-03,15640.000000,15700.000000,15360.000000,15540.000000,11895.464844,16467700
2010-02-04,15500.000000,15660.000000,15440.000000,15520.000000,11880.156250,11971700
2010-02-05,15160.000000,15220.000000,14940.000000,15000.000000,11482.107422,25705750
2010-02-08,14940.000000,15080.000000,14820.000000,14960.000000,11451.492188,21891500
2010-02-09,14960.000000,15220.000000,14840.000000,15220.000000,11650.516602,16834200
2010-02-10,15260.000000,15280.000000,15040.000000,15100.000000,11558.656250,13174200
2010-02-11,15140.000000,15300.000000,15120.000000,15260.000000,11681.130859,13208300
2010-02-12,15340.000000,15340.000000,14900.000000,15000.000000,11482.107422,22879300
2010-02-16,15000.000000,15180.000000,14960.000000,15120.000000,11573.965820,7723550
2010-02-17,15440.000000,15580.000000,15280.000000,15580.000000,11926.084961,13997150
2010-02-18,15580.000000,15620.000000,15440.000000,15500.000000,11864.844727,7251900
2010-02-19,15380.000000,15540.000000,15180.000000,15200.000000,11635.203125,11094000
2010-02-22,15440.000000,15560.000000,15400.000000,15460.000000,11834.226563,11580550
2010-02-23,15480.000000,15480.000000,15120.000000,15340.000000,11742.372070,12568850
2010-02-24,15180.000000,15220.000000,15000.000000,15040.000000,11512.730469,15052500
2010-02-25,15080.000000,15160.000000,14680.000000,14720.000000,11267.776367,19273900
2010-02-26,14800.000000,14960.000000,14660.000000,14880.000000,11390.251953,15576350
2010-03-02,15220.000000,15480.000000,15120.000000,15400.000000,11788.300781,23494700
2010-03-03,15420.000000,15460.000000,15260.000000,15420.000000,11803.608398,9713550
2010-03-04,15420.000000,15440.000000,15120.000000,15220.000000,11650.516602,10205050
2010-03-05,15260.000000,15500.000000,15260.000000,15500.000000,11864.844727,11754700
2010-03-08,15800.000000,15840.000000,15700.000000,15720.000000,12033.249023,19563300
2010-03-09,15740.000000,15740.000000,15540.000000,15720.000000,12033.249023,12211750
2010-03-10,15720.000000,15740.000000,15560.000000,15680.000000,12002.628906,11367600
2010-03-11,15800.000000,15880.000000,15560.000000,15560.000000,11910.771484,19631000
2010-03-12,15560.000000,15680.000000,15420.000000,15560.000000,11910.771484,9997950
2010-03-15,15640.000000,15660.000000,15280.000000,15360.000000,11757.678711,11156550
2010-03-16,15360.000000,15400.000000,15160.000000,15300.000000,11711.751953,16548150
2010-03-17,15440.000000,15960.000000,15420.000000,15960.000000,12216.964844,21840650
2010-03-18,15900.000000,16140.000000,15900.000000,15940.000000,12201.655273,15393500
2010-03-19,16020.000000,16140.000000,15960.000000,16080.000000,12308.817383,10711200
2010-03-22,16060.000000,16080.000000,15840.000000,16020.000000,12262.890625,9191800
2010-03-23,16140.000000,16300.000000,16100.000000,16180.000000,12385.366211,9923300
2010-03-24,16300.000000,16500.000000,16260.000000,16380.000000,12538.465820,15926950
2010-03-25,16300.000000,16440.000000,16180.000000,16380.000000,12538.465820,9481650
2010-03-26,16460.000000,16500.000000,16240.000000,16400.000000,12553.773438,10481650
2010-03-29,16200.000000,16500.000000,16200.000000,16360.000000,12523.151367,7756350
2010-03-30,16540.000000,16580.000000,16240.000000,16280.000000,12461.916016,12042400
2010-03-31,16280.000000,16680.000000,16260.000000,16360.000000,12523.151367,21699800
2010-04-01,16520.000000,16900.000000,16480.000000,16900.000000,12936.510742,28068050
2010-04-02,16920.000000,17200.000000,16820.000000,17140.000000,13120.220703,20907050
